,Etiqueta 2023,Dispositivo,Marca,MODELO,S/N,MA:C :Ad:dr:es:s WiFi,Filtro,Numero Operativo
,D0118,Chromebook,Samsung,XE500C12,9804,6C:29:95:73:14:8C,Plani,7
,D0189,Chromebook,Samsung,XE500C12,3476L,6C:29:95:6B:3A:B4,Plani,8
,D0109,Chromebook,Samsung,XE500C12,5937E,6C:29:95:87:AA:37,Plani,9
,D0117,Chromebook,Samsung,XE500C12,9882T,6C:29:95:61:8E:24,Plani,10
,D0248,Chromebook,Samsung,XE500C12,2715L,6C:29:95:74:BC:6F,Plani,11
,D0184,Chromebook,Lenovo,Chromebook C340-11,PF2QBYNN,C0:3C:59:16:14:9E,Touch,13
,D0174,Chromebook,Lenovo,Chromebook C340-11,PF2YCVYJ,F0:9E:4A:D5:28:07,Touch,14
,D0159,Chromebook,Lenovo,Chromebook C340-11,PF2SC1TR,C0:3C:59:40:42:55,Touch,15
,D0185,Chromebook,Lenovo,Chromebook C340-11,PF2WM2CG,1C:99:57:5E:5C:18,Touch,16
,D0179,Chromebook,Lenovo,Chromebook C340-11,P209RSKC,DC:1B:A1:6C:46:70,Touch,17
,D0165,Chromebook,Lenovo,Chromebook C340-11,PF2WM2B0,1C:99:57:5E:5C:2C,Touch,18
,D0180,Chromebook,Lenovo,Chromebook C340-11,PF2PTJ0D,E8:F4:08:D4:FA:8A,Touch,19
,D0162,Chromebook,Lenovo,Chromebook C340-11,PF2THBCS,C0:3C:59:3E:D1:D1,Touch,20
,D0175,Chromebook,Lenovo,Chromebook C340-11,PF2TEGCR,28:D0:EA:70:01:B6A,Touch,21
,D0689,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB06567,50:2F:9B:8E:AF:76,Touch,22
,D0692,Chromebook,Samsung,XE520QAB'K04US,3VW29FHRB01637,50:2F:9B:90:66:9F,Touch,23
,D0694,Chromebook,Samsung,XE520QAB'K04US,3VW29FHRB00051,50:2F:9B:8C:0B:F4,Touch,24
,D0697,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB01879,50:2F:9B:8C:DF:02,Touch,25
,D0696,Chromebook,Samsung,XE520QAB'K04US,3VW29FNR800805,B4:0E:DE:B2:9A:49,Touch,26
,D0690,Chromebook,Samsung,XE520QAB'K04US,3VW29FNR801057,B4:0E:DE:B2:9A:80,Touch,27
,D0693,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB01560,50:2F:9B:8D:27:32,Touch,28
,D0691,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB04057,3VW29FNRB04057,Touch,29
,D0695,Chromebook,Samsung,XE520QAB'K04US,3VW29FNRB02533T,--,Touch,30
,D1258,Tablet,,,,,,1
,D0854,Tablet,,,,,,2
,D1257,Tablet,,,,,,3
,D1266,Tablet,,,,,,4
,D0852,Tablet,,,,,,5
,D0855,Tablet,,,,,,6
,D0849,Tablet,,,,,,7
,D0847,Tablet,,,,,,8
,D0853,Tablet,,,,,,9
,D0856,Tablet,,,,,,10
,D1265,Tablet,,,,,,11
,D0851,Tablet,,,,,,12
,D1259,Tablet,,,,,,13
,D0848,Tablet,,,,,,14
